stimulus_presentation_id,stimulus_block,start_time,stop_time,coherence,Speed,y_position,x_position,orientation,Dir,size,spatial_frequency,contrast,frame,stimulus_name,color,temporal_frequency,phase,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
1,0.0,68.998348,69.248554,null,null,30.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020597,1,,,0,,False,0,train,0
2,0.0,69.248554,69.49876,null,null,-30.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020597,2,,,0,,False,0,train,2
3,0.0,69.49876,69.732286,null,null,-10.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.23352557,3,,,0,,False,0,train,2
4,0.0,69.732286,69.982492,null,null,0.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020597,4,,,0,,False,0,train,1
5,0.0,69.982492,70.232711,null,null,10.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,5,,,0,,False,0,train,1
6,0.0,70.232711,70.48293,null,null,20.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,6,,,0,,False,0,train,2
7,0.0,70.48293,70.733149,null,null,-10.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,7,,,0,,False,0,train,2
8,0.0,70.733149,70.983368,null,null,20.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,8,,,0,,False,0,train,0
9,0.0,70.983368,71.233567,null,null,-20.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,9,,,0,,False,0,train,2
10,0.0,71.233567,71.483765,null,null,-20.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,10,,,0,,False,0,train,2
11,0.0,71.483765,71.733963,null,null,-20.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,11,,,0,,False,0,train,1
12,0.0,71.733963,71.984162,null,null,40.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,12,,,0,,False,0,train,0
13,0.0,71.984162,72.234378,null,null,20.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,13,,,0,,False,0,train,1
14,0.0,72.234378,72.484595,null,null,20.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,14,,,0,,False,0,train,1
15,0.0,72.484595,72.734812,null,null,30.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,15,,,0,,False,0,train,1
16,0.0,72.734812,72.985028,null,null,10.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,16,,,0,,False,0,train,2
17,0.0,72.985028,73.235229,null,null,-30.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,17,,,0,,False,0,train,1
18,0.0,73.235229,73.48543,null,null,20.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,18,,,0,,False,0,train,2
19,0.0,73.48543,73.735631,null,null,-40.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,19,,,0,,False,0,train,2
20,0.0,73.735631,73.985832,null,null,0.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,20,,,0,,False,0,train,2
21,0.0,73.985832,74.236053,null,null,0.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,21,,,0,,False,0,train,0
22,0.0,74.236053,74.486275,null,null,20.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,8,,,0,,False,1,train,0
23,0.0,74.486275,74.736497,null,null,-10.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,22,,,0,,False,0,train,2
24,0.0,74.736497,74.986718,null,null,-10.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,23,,,0,,False,0,train,1
25,0.0,74.986718,75.236914,null,null,-20.0,10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,24,,,0,,False,0,train,0
26,0.0,75.236914,75.48711,null,null,-30.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,25,,,0,,False,0,train,1
27,0.0,75.48711,75.737306,null,null,-40.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,26,,,0,,False,0,train,2
28,0.0,75.737306,75.987502,null,null,-10.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,27,,,0,,False,0,train,0
29,0.0,75.987502,76.237718,null,null,20.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,14,,,0,,False,1,train,1
30,0.0,76.237718,76.487935,null,null,0.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,28,,,0,,False,0,train,2
31,0.0,76.487935,76.738152,null,null,0.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,29,,,0,,False,0,train,1
32,0.0,76.738152,76.988368,null,null,-40.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,30,,,0,,False,0,train,0
33,0.0,76.988368,77.238567,null,null,20.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,31,,,0,,False,0,train,1
34,0.0,77.238567,77.488765,null,null,-30.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,32,,,0,,False,0,train,2
35,0.0,77.488765,77.738963,null,null,0.0,40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,33,,,0,,False,0,train,0
36,0.0,77.738963,77.989162,null,null,0.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019837,34,,,0,,False,0,train,2
37,0.0,77.989162,78.239376,null,null,10.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,5,,,0,,False,1,train,1
38,0.0,78.239376,78.48959,null,null,10.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,35,,,0,,False,0,train,2
39,0.0,78.48959,78.739804,null,null,0.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,34,,,0,,False,1,train,2
40,0.0,78.739804,78.990018,null,null,40.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,36,,,0,,False,0,train,0
41,0.0,78.990018,79.240227,null,null,20.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,37,,,0,,False,0,train,1
42,0.0,79.240227,79.490435,null,null,-30.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,38,,,0,,False,0,train,2
43,0.0,79.490435,79.740643,null,null,-30.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,39,,,0,,False,0,train,0
44,0.0,79.740643,79.990852,null,null,-30.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020837,40,,,0,,False,0,train,2
45,0.0,79.990852,80.241063,null,null,10.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,41,,,0,,False,0,train,2
46,0.0,80.241063,80.491275,null,null,30.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,42,,,0,,False,0,train,2
47,0.0,80.491275,80.741487,null,null,-40.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,43,,,0,,False,0,train,0
48,0.0,80.741487,80.991698,null,null,40.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,44,,,0,,False,0,train,1
49,0.0,80.991698,81.241902,null,null,20.0,20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,45,,,0,,False,0,train,0
50,0.0,81.241902,81.492105,null,null,40.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,46,,,0,,False,0,train,1
51,0.0,81.492105,81.742308,null,null,20.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,47,,,0,,False,0,train,1
52,0.0,81.742308,81.992512,null,null,10.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,48,,,0,,False,0,train,1
53,0.0,81.992512,82.242728,null,null,40.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,49,,,0,,False,0,train,1
54,0.0,82.242728,82.492945,null,null,10.0,-10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,50,,,0,,False,0,train,0
55,0.0,82.492945,82.743162,null,null,20.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,51,,,0,,False,0,train,1
56,0.0,82.743162,82.993378,null,null,30.0,-20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021663,52,,,0,,False,0,train,0
57,0.0,82.993378,83.243584,null,null,-30.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,53,,,0,,False,0,train,2
58,0.0,83.243584,83.49379,null,null,-40.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,26,,,0,,False,1,train,2
59,0.0,83.49379,83.743996,null,null,-40.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,54,,,0,,False,0,train,1
60,0.0,83.743996,83.994202,null,null,20.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,55,,,0,,False,0,train,0
61,0.0,83.994202,84.244421,null,null,40.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,56,,,0,,False,0,train,2
62,0.0,84.244421,84.49464,null,null,-20.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,57,,,0,,False,0,train,2
63,0.0,84.49464,84.744859,null,null,-30.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,58,,,0,,False,0,train,1
64,0.0,84.744859,84.995078,null,null,20.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,51,,,0,,False,1,train,1
65,0.0,84.995078,85.245272,null,null,-30.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019337,59,,,0,,False,0,train,2
66,0.0,85.245272,85.495465,null,null,-20.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019337,60,,,0,,False,0,train,0
67,0.0,85.495465,85.745658,null,null,-40.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019337,61,,,0,,False,0,train,2
68,0.0,85.745658,85.995852,null,null,-20.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019337,62,,,0,,False,0,train,2
69,0.0,85.995852,86.246071,null,null,10.0,0.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,63,,,0,,False,0,train,0
70,0.0,86.246071,86.49629,null,null,-40.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,64,,,0,,False,0,train,1
71,0.0,86.49629,86.746509,null,null,-20.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,65,,,0,,False,0,train,2
72,0.0,86.746509,86.996728,null,null,-10.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,66,,,0,,False,0,train,1
73,0.0,86.996728,87.246929,null,null,-10.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,67,,,0,,False,0,train,0
74,0.0,87.246929,87.49713,null,null,0.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,68,,,0,,False,0,train,1
75,0.0,87.49713,87.747331,null,null,20.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,69,,,0,,False,0,train,2
76,0.0,87.747331,87.997532,null,null,20.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,70,,,0,,False,0,train,2
77,0.0,87.997532,88.247746,null,null,-40.0,-10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,71,,,0,,False,0,train,1
78,0.0,88.247746,88.49796,null,null,-10.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,72,,,0,,False,0,train,0
79,0.0,88.49796,88.748174,null,null,20.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,73,,,0,,False,0,train,2
80,0.0,88.748174,88.998388,null,null,-20.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,74,,,0,,False,0,train,1
81,0.0,88.998388,89.248592,null,null,10.0,10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,75,,,0,,False,0,train,0
82,0.0,89.248592,89.498795,null,null,40.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,76,,,0,,False,0,train,2
83,0.0,89.498795,89.748998,null,null,30.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,77,,,0,,False,0,train,0
84,0.0,89.748998,89.999202,null,null,0.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,4,,,0,,False,1,train,1
85,0.0,89.999202,90.249421,null,null,0.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,78,,,0,,False,0,train,1
86,0.0,90.249421,90.49964,null,null,-30.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,38,,,0,,False,1,train,2
87,0.0,90.49964,90.749859,null,null,30.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,79,,,0,,False,0,train,2
88,0.0,90.749859,91.000078,null,null,-20.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,80,,,0,,False,0,train,1
89,0.0,91.000078,91.250274,null,null,30.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,81,,,0,,False,0,train,2
90,0.0,91.250274,91.50047,null,null,0.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,82,,,0,,False,0,train,1
91,0.0,91.50047,91.750666,null,null,40.0,10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,83,,,0,,False,0,train,0
92,0.0,91.750666,92.000862,null,null,0.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,84,,,0,,False,0,train,1
93,0.0,92.000862,92.251076,null,null,-10.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,85,,,0,,False,0,train,1
94,0.0,92.251076,92.50129,null,null,30.0,10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,86,,,0,,False,0,train,2
95,0.0,92.50129,92.751504,null,null,-30.0,-30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,87,,,0,,False,0,train,2
96,0.0,92.751504,93.001718,null,null,0.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021413,88,,,0,,False,0,train,2
97,0.0,93.001718,93.251922,null,null,10.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,48,,,0,,False,1,train,1
98,0.0,93.251922,93.502125,null,null,30.0,0.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,89,,,0,,False,0,train,2
99,0.0,93.502125,93.752328,null,null,40.0,40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,90,,,0,,False,0,train,0
100,0.0,93.752328,94.002532,null,null,-30.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020337,91,,,0,,False,0,train,1
101,0.0,94.002532,94.252751,null,null,10.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,92,,,0,,False,0,train,2
102,0.0,94.252751,94.50297,null,null,-30.0,-40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,59,,,0,,False,1,train,2
103,0.0,94.50297,94.753189,null,null,-40.0,10.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,93,,,0,,False,0,train,0
104,0.0,94.753189,95.003408,null,null,20.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,69,,,0,,False,1,train,2
105,0.0,95.003408,95.253609,null,null,-20.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,74,,,0,,False,1,train,1
106,0.0,95.253609,95.50381,null,null,-10.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,94,,,0,,False,0,train,1
107,0.0,95.50381,95.754011,null,null,0.0,0.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,4,,,0,,False,2,test,1
108,0.0,95.754011,96.004212,null,null,-40.0,20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,95,,,0,,False,0,train,2
109,0.0,96.004212,96.254431,null,null,10.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,96,,,0,,False,0,train,0
110,0.0,96.254431,96.50465,null,null,30.0,30.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,81,,,0,,False,1,train,2
111,0.0,96.50465,96.754869,null,null,40.0,0.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,97,,,0,,False,0,train,0
112,0.0,96.754869,97.005088,null,null,-40.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021913,98,,,0,,False,0,train,2
113,0.0,97.005088,97.255289,null,null,40.0,30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,36,,,0,,False,1,train,0
114,0.0,97.255289,97.50549,null,null,-30.0,-30.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,99,,,0,,False,0,train,0
115,0.0,97.50549,97.755691,null,null,-30.0,-20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,100,,,0,,False,0,train,0
116,0.0,97.755691,98.005892,null,null,0.0,-20.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020087,34,,,0,,False,2,test,2
117,0.0,98.005892,98.256113,null,null,40.0,-20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,101,,,0,,False,0,train,0
118,0.0,98.256113,98.506335,null,null,0.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,29,,,0,,False,1,train,1
119,0.0,98.506335,98.756557,null,null,0.0,20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,102,,,0,,False,0,train,1
120,0.0,98.756557,99.006778,null,null,10.0,40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25022163,103,,,0,,False,0,train,0
121,0.0,99.006778,99.256974,null,null,-40.0,-30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,104,,,0,,False,0,train,1
122,0.0,99.256974,99.50717,null,null,0.0,-20.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,105,,,0,,False,0,train,0
123,0.0,99.50717,99.757366,null,null,30.0,-40.0,0.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,106,,,0,,False,0,train,0
124,0.0,99.757366,100.00756,null,null,-20.0,30.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25019587,11,,,0,,False,1,train,1
125,0.0,100.00756,100.25777,null,null,40.0,-10.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,56,,,0,,False,1,train,2
126,0.0,100.25777,100.50798,null,null,-30.0,40.0,90.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,38,,,0,,False,2,test,2
127,0.0,100.50798,100.7582,null,null,-30.0,-20.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,58,,,0,,False,1,train,1
128,0.0,100.7582,101.00841,null,null,-10.0,10.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25021163,107,,,0,,False,0,train,1
129,0.0,101.00841,101.25861,null,null,-20.0,40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,80,,,0,,False,1,train,1
130,0.0,101.25861,101.50882,null,null,-20.0,-40.0,45.0,null,"[20.0, 20.0]",0.08,0.8,null,gabors,null,4.0,"[3644.93333333, 3644.93333333]",0.25020587,108,,,0,,False,0,train,1
