ecephys_session_id,ecephys_probe_id,map_area,ccf_ap_mm,ccf_ml_mm,cells,pixel_row,pixel_col,dist_VISp_px,dist_VISl_px,dist_VISal_px,dist_VISrl_px,dist_VISam_px,nearest_zhuang_area,own_area_distance_px,agrees,has_zhuang_reference,valid_px,geometry
715093703,810755797,VISam,7.37,7.629,49,85.250186013048,253.74419215492807,43.95612231885826,165.11179116622995,166.4708918904378,32.976743794934904,0.0,VISam,0.0,True,True,True,no_rotation
715093703,810755801,VISp,8.6545,8.171,92,219.55838605780474,197.0723008164632,0.0,63.52675230869562,100.49387374698557,64.28118209134229,81.5107809525816,VISp,0.0,True,True,True,no_rotation
715093703,810755803,VISl,8.823,9.609,55,237.17686150158946,46.71403560481647,85.74199554961851,9.285964395183528,10.948758030043994,78.14995466976956,153.38681800254201,VISl,9.285964395183528,False,True,True,no_rotation
715093703,810755805,VISrl,8.007,9.326,64,151.8553424385131,76.3047094955647,76.46810753894133,44.47298659555069,9.273955150596901,0.0,91.22986555528871,VISrl,0.0,True,True,True,no_rotation
715093703,810755807,VISrl,7.327,8.679,54,80.75407655261625,143.9554727722931,71.12905728764065,107.11059645558987,86.54978964069511,0.0,60.69406493540663,VISrl,0.0,True,True,True,no_rotation
719161530,729445648,VISam,7.535,7.69,48,102.50269905889061,247.36599036222253,25.585318088603714,148.6752974585724,153.53912285855995,33.23647140882276,0.0,VISam,0.0,True,True,True,no_rotation
719161530,729445650,VISpm,7.8545,7.5385,34,135.9098379567495,263.2069341588599,17.21203750559423,142.89307913038587,159.52423433594677,64.137704727702,26.205663564421442,VISp,,False,False,True,no_rotation
719161530,729445652,VISp,8.538,7.898,81,207.37706624058853,225.61736785594826,0.0,89.77984364568366,124.88505488735294,87.04655039893719,83.64355767637048,VISp,0.0,True,True,True,no_rotation
719161530,729445654,VISl,8.797,9.685,53,234.4582836883052,38.76742353521618,93.94557867397225,17.426100316228528,13.957871620332636,77.15942020557878,158.08969626418894,VISal,17.426100316228528,False,True,True,no_rotation
719161530,729445656,VISal,8.166,9.725,19,168.4804913735979,34.58499613016352,111.66768812001048,67.06001336888198,14.871768349138007,22.251333438861852,135.03776881697894,VISal,14.871768349138007,False,True,True,no_rotation
719161530,729445658,VISrl,7.566,8.619,16,105.74408029780648,150.22911387987227,45.39702847333348,86.68900879716229,69.69892761176132,0.0,37.49983113759059,VISrl,0.0,True,True,True,no_rotation
721123822,760213137,VISam,7.331,7.814,65,81.17231929312157,234.400465406559,39.51121234559779,155.0532991096277,151.52047010261285,13.441681003840705,0.0,VISam,0.0,True,True,True,no_rotation
721123822,760213145,VISp,8.672,8.038,57,221.38819804751532,210.97887193826352,0.0,77.44647976251393,114.27668374863507,77.74850818380413,88.44151299319086,VISp,0.0,True,True,True,no_rotation
721123822,760213147,VISl,8.582,9.395,55,211.97773638614663,69.09002222184878,67.60007293662069,11.637864856564896,0.0,52.13918687058241,120.34653989372288,VISal,11.637864856564896,False,True,True,no_rotation
721123822,760213150,VISal,7.788,9.756,84,128.95655239584931,31.34361489124757,126.82662330738714,94.04372183513036,44.83139354753706,7.905877544391007,136.2821689356562,VISrl,44.83139354753706,False,True,True,no_rotation
721123822,760213153,VISrl,7.152,8.532,69,62.45595665551045,159.325893485862,78.84673995061496,129.70619739537747,110.0518482843895,0.0,64.56079968705023,VISrl,0.0,True,True,True,no_rotation
744228101,757904513,VISp,9.0775,7.884,56,263.78755586623765,227.08121744771665,0.0,101.88768357539007,146.08634642646038,113.63047352369655,133.66465349079485,VISp,0.0,True,True,True,no_rotation
